image_path,label,class_name,source,split
data/raw/cifake/train/REAL/0023 (9).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2834 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4874 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1339.jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/3544 (7).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5104 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3966 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5034 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1847 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5407 (6).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/2268 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3621 (4).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2804 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5055 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0122 (6).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4211 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1772 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1376 (7).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4429 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1372 (10).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0552 (10).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/4829 (4).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/1970 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/2797 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0319.jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/1095 (10).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3807.jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/2397 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0462 (10).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2548 (6).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5968 (8).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1416 (4).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5347 (8).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4294 (7).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/1406 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4466 (9).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5254 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/2673.jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5440 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/3671 (9).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2099 (7).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3615 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4949 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0861.jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5522 (7).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1124 (6).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4668 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0767 (8).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4976 (6).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4381 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3714 (9).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5384 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1039 (8).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4199.jpg,0,real,cifake,train
data/raw/cifake/train/REAL/0953 (6).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/1863 (9).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/1015 (6).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5658 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/2470 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/2133 (8).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/1370 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/3641 (10).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/2049.jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4321 (8).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1795 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1571 (8).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2043 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3040 (7).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4626 (10).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0541 (10).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/1876 (8).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/4874 (2).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/3860.jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4195 (2).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2597 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0072 (2).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5135 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3639 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1894 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/0165 (3).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/1218 (7).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3223 (6).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4227 (6).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3181 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0371 (8).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5387 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/2165 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/3434 (3).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3654 (3).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/0670 (7).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/1136 (10).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/1986 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3196.jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4364 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1560 (8).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/2338.jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2774 (10).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1722 (9).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3139 (6).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3447 (10).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/0091 (6).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/4688 (7).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4772 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1881 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5412 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4549 (10).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2295 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3650.jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5019 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3881 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1102 (8).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/1370 (5).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4262 (6).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5357 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3612 (6).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3776 (10).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1717 (4).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/1043 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5201 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4792 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/2706 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/2465 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1837 (10).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/2486 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/1115 (5).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2049 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/3296 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4429 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/1407 (6).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3924 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3608 (2).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2611 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5865 (8).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4425 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/2009 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0102 (3).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/0628 (4).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5021 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4973 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/3953 (2).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5360 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4370 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4023 (9).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/2422 (4).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/0528 (5).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3468 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/2124 (10).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/2716 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/4185 (5).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/3562 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1086 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/2495 (8).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/2269 (7).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/5860 (5).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/0462 (7).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4902 (10).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4836 (7).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/3505 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3171 (3).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/2523 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/2197 (9).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3542 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/4845 (2).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3747 (9).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/1556 (10).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1031 (10).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3101 (3).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/3681 (6).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4860 (6).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4417 (3).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/1705 (7).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/2665 (2).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4052 (8).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5323 (8).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/4732 (9).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/1558 (9).jpg,0,real,cifake,train
data/raw/cifake/train/FAKE/4723.jpg,1,ai_generated,cifake,train
data/raw/cifake/train/FAKE/5303 (4).jpg,1,ai_generated,cifake,train
data/raw/cifake/train/REAL/2295 (4).jpg,0,real,cifake,train
data/raw/cifake/train/REAL/4137 (5).jpg,0,real,cifake,train
